Date,Item,Quantity
2016-08-26,Imaging DELL T710,1
2016-08-26,Imaging ThumbDrives LLC_NAI,100
2016-08-26,Imaging ThumbDrives LLC_NAI,36
2016-08-26,Imaging DELL OPTIPLEX 7040,10
2016-08-26,Van Run,1
2016-08-29,Imaging POS Hard Drive,20
2016-08-29,Imaging HP 600 G1,16
2016-08-29,Imaging IMPACT-S,1
2016-08-29,Imaging ThumbDrives LLC_NAI,60
2016-08-30,Imaging DELL OPTIPLEX 7040,12
2016-08-30,Imaging DELL OPTIPLEX 9020,21
2016-08-30,Imaging DELL OPTIPLEX 9020,40
2016-09-01,Created ESX 5.5U2 cd,196
2016-09-01,Imaging NCR 7459 POS CONTROLLER,2
2016-09-01,Imaging DELL OPTIPLEX 760,7
2016-09-01,Imaging DELL OPTIPLEX 9020,1
2016-09-01,Imaging DELL OPTIPLEX 7040,36
2016-09-01,HP DL160 G9 imaging,1
2016-09-01,Imaging CISCO 2960 SWITCH,7
2016-09-01,Imaging CISCO 2911 ROUTER,1
2016-09-01,Imaging NCR 7606 POS CONTROLLER,12
2016-09-01,Imaging NCR 7606 POS CONTROLLER,12
2016-09-01,Imaging APC 1500,8
2016-09-01,Imaging APC 1500,4
2016-09-01,Imaging APC 1500,4
2016-09-01,Re-Encrypt MX915 PIN PADS,11
2016-09-01,Imaging QL320N,2
2016-09-01,Created ISP Recovery DVD,196
2016-09-07,Imaging DELL OPTIPLEX 9020,74
2016-09-08,Imaging NCR 7606 POS CONTROLLER,26
2016-09-08,Imaging DELL OPTIPLEX 760,1
2016-09-08,Imaging APC 1500,7
2016-09-08,Imaging DELL OPTIPLEX 9020,2
2016-09-08,Imaging CISCO 3650 SWITCH,13
2016-09-08,Imaging CISCO 4331 ROUTER,8
2016-09-08,Imaging ThumbDrives LLC_NAI,21
2016-09-15,Testing MX915 PIN PADS,45
2016-09-15,Imaging POS Hard Drive,2
2016-09-15,Imaging DELL OPTIPLEX 9020,57
2016-09-16,Imaging DELL OPTIPLEX 9020,47
2016-09-16,Imaging POS Hard Drive,1
2016-09-16,Imaging POS Hard Drive,2
2016-09-16,Imaging CISCO 3650 SWITCH,2
2016-09-21,Imaging DELL OPTIPLEX 9020,31
2016-09-21,Imaging CISCO 3602,1
2016-09-21,Testing MX915 PIN PADS,10
2016-09-21,Imaging POS Hard Drive,1
2016-09-21,Imaging IBM 4800-C41 POS CONTROLLER,69
2016-09-23,Imaging IBM 4800-C41 POS CONTROLLER,25
2016-09-27,Imaging POS Hard Drive,1
2016-09-27,Imaging IMPACT-S,2
2016-09-27,Re-Encrypt MX915 PIN PADS,3
2016-09-27,Imaging Toledo UCCW,2
2016-09-27,Testing IBM 4800-C41 POS CONTROLLER,8
2016-09-27,Re-Encrypt MX915 PIN PADS,13
2016-09-28,Imaging NCR 7606 POS CONTROLLER,1
2016-09-28,Imaging HP 600 G1,1
2016-09-28,Imaging POS Hard Drive,1
2016-09-28,Imaging ISP DRIVES,2
2016-09-28,Imaging Toledo IMPACT-S,2
2016-09-28,Imaging DELL OPTIPLEX 760,1
2016-09-30,Imaging DELL OPTIPLEX 9020,9
2016-09-30,Imaging DELL OPTIPLEX 7040,6
2016-10-03,Imaging CISCO 3650 SWITCH,4
2016-10-03,Imaging DELL T430 ESX SERVER,4
2016-10-03,Imaging CISCO 4331 ROUTER,1
2016-10-03,Imaging ThumbDrives SVU RX,12
2016-10-04,Imaging DELL OPTIPLEX 7040,9
2016-10-04,Imaging ThumbDrives LLC_NAI,6
2016-10-05,Imaging DELL OPTIPLEX 9020,2
2016-10-05,Imaging HP 600 G1,8
2016-10-05,Van Run,1
2016-10-05,Imaging Dell PowerEdge 2900,1
2016-10-05,Imaging ZEBRA QLN 320 BELT PRINTER,1
2016-10-05,HP DL160 G8 imaging,1
2016-10-06,Imaging IBM 4800-C41 POS CONTROLLER,4
2016-10-06,Testing MX915 PIN PADS,2
2016-10-06,Imaging ISP DRIVES,2
2016-10-06,Testing NETFRAME MPC620,1
2016-10-07,Imaging POS Hard Drive,1
2016-10-10,Imaging POS Hard Drive,2
2016-10-10,Imaging CISCO 2911 ROUTER,1
2016-10-10,Imaging CISCO 2960 SWITCH,5
2016-10-10,Imaging CISCO 3650 SWITCH,1
2016-10-10,Imaging HP 6000 DESKTOP Workstation,4
2016-10-11,Testing NETFRAME MPC620,20
2016-10-12,Imaging QLN320 BELT PRINTER,2
2016-10-12,Testing MX915 PIN PADS,1
2016-10-12,Imaging DELL OPTIPLEX 7040,4
2016-10-14,Testing NETFRAME MPC620,10
2016-10-14,Imaging POS Hard Drive,2
2016-10-14,Depot ThumbDrives LLC_NAI,4
2016-10-17,Imaging DELL OPTIPLEX 7040,8
2016-10-17,Imaging HP 6000 DESKTOP Workstation,5
2016-10-17,Testing NETFRAME MPC620,25
2016-10-17,HP DL160 G6 imaging,1
2016-10-18,Imaging POS Hard Drive,1
2016-10-19,Testing MX915 PIN PADS,100
2016-10-19,Testing MX915 PIN PADS,6
2016-10-19,Testing MX915 PIN PADS,81
2016-10-19,Testing MX915 PIN PADS,34
2016-10-20,Testing IBM 4800-C41 POS CONTROLLER,3
2016-11-01,HP DL160 G9 imaging,55
2016-11-01,Testing IBM 4800-C41 POS CONTROLLER,5
2016-11-01,Testing MX915 PIN PADS,2
2016-11-01,Imaging CISCO 1252,4
2016-11-02,Testing CISCO 1252,50
2016-11-02,Imaging Bizerba Scales,1
2016-11-02,Testing Radiant Time Clock,50
2016-11-04,Testing Radiant W106 Time Clock,50
2016-11-11,Testing NETFRAME MPC620,24
2016-11-11,Imaging Toledo IMPACT-S,10
2016-11-11,Imaging CISCO 3650 SWITCH,27
2016-11-11,Wiping CISCO 2950 SWITCH,7
2016-11-11,Van Run,3
2016-11-11,Imaging DELL OPTIPLEX 9020,1
2016-11-14,Imaging POS Hard Drive,1
