Store,Clients,Rx Clients,Switches,ESX,DL160,ISP,Notes
695,0,4,0,no,no,no,no,,
1591,0,6,0,no,no,no,no,,
1595,0,4,0,no,no,no,no,,
1597,0,4,0,no,no,no,no,,
1598,0,9,0,no,no,no,no,,
1599,0,9,0,no,no,no,no,,
1600,0,9,0,no,no,no,no,,
1601,0,8,0,no,no,no,no,,
1602,0,5,0,no,no,no,no,,
1603,0,4,0,no,no,no,no,,
1604,0,7,0,no,no,no,no,,
1606,0,6,0,no,no,no,no,,
1607,0,7,0,no,no,no,no,,
1608,0,9,0,no,no,no,no,,
1609,0,5,0,no,no,no,no,,
1611,0,8,0,no,no,no,no,,
1612,0,10,0,no,no,no,no,,
1613,0,7,0,no,no,no,no,,
1614,0,5,0,no,no,no,no,,
1616,0,8,0,no,no,no,no,,
1625,0,7,0,no,no,no,no,,
1629,0,7,0,no,no,no,no,,
1630,0,5,0,no,no,no,no,,
1631,0,5,0,no,no,no,no,,
1632,0,9,0,no,no,no,no,,
1633,0,8,0,no,no,no,no,,
1634,0,6,0,no,no,no,no,,
1635,0,7,0,no,no,no,no,,
1637,0,5,0,no,no,no,no,,
1638,0,6,0,no,no,no,no,,
1639,0,7,0,no,no,no,no,,
1640,0,6,0,no,no,no,no,,
1641,0,8,0,no,no,no,no,,
1643,0,5,0,no,no,no,no,,
1644,0,4,0,no,no,no,no,,
1645,0,7,0,no,no,no,no,,
1649,0,4,0,no,no,no,no,,
1650,0,8,0,no,no,no,no,,
1651,0,7,0,no,no,no,no,,
1652,0,6,0,no,no,no,no,,
1653,0,7,0,no,no,no,no,,
1654,0,6,0,no,no,no,no,,
1656,0,5,0,no,no,no,no,,
1657,0,6,0,no,no,no,no,,
1658,0,6,0,no,no,no,no,,
1693,0,4,0,no,no,no,no,,
1694,0,5,0,no,no,no,no,,
1695,0,4,0,no,no,no,no,,
1913,0,5,0,no,no,no,no,,
1914,0,7,0,no,no,no,no,,
1915,0,6,0,no,no,no,no,,
1917,0,8,0,no,no,no,no,,
1918,0,8,0,no,no,no,no,,
1920,0,7,0,no,no,no,no,,
1921,0,5,0,no,no,no,no,,
1922,0,8,0,no,no,no,no,,
1923,0,5,0,no,no,no,no,,
1925,0,5,0,no,no,no,no,,
1928,0,8,0,no,no,no,no,,
1929,0,9,0,no,no,no,no,,
1930,0,5,0,no,no,no,no,,
1931,0,5,0,no,no,no,no,,
1932,0,4,0,no,no,no,no,,
1934,0,6,0,no,no,no,no,,
1935,0,8,0,no,no,no,no,,
1936,0,8,0,no,no,no,no,,
1939,0,6,0,no,no,no,no,,
1940,0,5,0,no,no,no,no,,
1950,0,7,0,no,no,no,no,,
1952,0,4,0,no,no,no,no,,
1955,0,5,0,no,no,no,no,,
1956,0,4,0,no,no,no,no,,
1957,0,4,0,no,no,no,no,,
1958,0,5,0,no,no,no,no,,
1962,0,5,0,no,no,no,no,,
2283,0,5,0,no,no,no,no,,
2286,0,4,0,no,no,no,no,,
2287,0,4,0,no,no,no,no,,
2290,0,5,0,no,no,no,no,,
2293,0,4,0,no,no,no,no,,
2295,0,4,0,no,no,no,no,,
2298,0,3,0,no,no,no,no,,
2299,0,4,0,no,no,no,no,,
2332,0,5,0,no,no,no,no,,
2335,0,4,0,no,no,no,no,,
2336,0,4,0,no,no,no,no,,
2338,0,4,0,no,no,no,no,,
2339,0,5,0,no,no,no,no,,
2340,0,4,0,no,no,no,no,,
2342,0,5,0,no,no,no,no,,
2344,0,4,0,no,no,no,no,,
2346,0,4,0,no,no,no,no,,
2356,0,3,0,no,no,no,no,,
2358,0,3,0,no,no,no,no,,
2362,0,5,0,no,no,no,no,,
2364,0,4,0,no,no,no,no,,
2365,0,3,0,no,no,no,no,,
2366,0,4,0,no,no,no,no,,
2368,0,5,0,no,no,no,no,,
2369,0,5,0,no,no,no,no,,
2370,0,4,0,no,no,no,no,,
2371,0,5,0,no,no,no,no,,
2372,0,4,0,no,no,no,no,,
2376,0,4,0,no,no,no,no,,
2377,0,5,0,no,no,no,no,,
2379,0,4,0,no,no,no,no,,
2380,0,4,0,no,no,no,no,,
2381,0,4,0,no,no,no,no,,
2383,0,3,0,no,no,no,no,,
2384,0,4,0,no,no,no,no,,
4510,0,4,0,no,no,no,no,,
4514,0,5,0,no,no,no,no,,
4515,0,8,0,no,no,no,no,,
4518,0,5,0,no,no,no,no,,
4521,0,8,0,no,no,no,no,,
4522,0,4,0,no,no,no,no,,
4523,0,7,0,no,no,no,no,,
4525,0,4,0,no,no,no,no,,
4527,0,6,0,no,no,no,no,,
4528,0,8,0,no,no,no,no,,
4529,0,6,0,no,no,no,no,,
4530,0,5,0,no,no,no,no,,
4531,0,9,0,no,no,no,no,,
4533,0,5,0,no,no,no,no,,
4534,0,4,0,no,no,no,no,,
4535,0,7,0,no,no,no,no,,
4537,0,7,0,no,no,no,no,,
4538,0,4,0,no,no,no,no,,
4539,0,7,0,no,no,no,no,,
4540,0,5,0,no,no,no,no,,
4541,0,9,0,no,no,no,no,,
4542,0,8,0,no,no,no,no,,
4543,0,9,0,no,no,no,no,,
4544,0,8,0,no,no,no,no,,
4545,0,5,0,no,no,no,no,,
4546,0,6,0,no,no,no,no,,
4547,0,8,0,no,no,no,no,,
4548,0,5,0,no,no,no,no,,
4549,0,8,0,no,no,no,no,,
4550,0,4,0,no,no,no,no,,
4555,0,8,0,no,no,no,no,,
4557,0,8,0,no,no,no,no,,
4558,0,9,0,no,no,no,no,,
4973,0,6,0,no,no,no,no,,
4974,0,5,0,no,no,no,no,,
6238,0,8,0,no,no,no,no,,
6239,0,4,0,no,no,no,no,,
6240,0,8,0,no,no,no,no,,
6241,0,5,0,no,no,no,no,,
6242,0,7,0,no,no,no,no,,
6243,0,6,0,no,no,no,no,,
6244,0,6,0,no,no,no,no,,
6246,0,7,0,no,no,no,no,,
6247,0,6,0,no,no,no,no,,
6249,0,6,0,no,no,no,no,,
6250,0,4,0,no,no,no,no,,
6253,0,6,0,no,no,no,no,,
6254,0,3,0,no,no,no,no,,
6255,0,6,0,no,no,no,no,,
6256,0,9,0,no,no,no,no,,
6260,0,5,0,no,no,no,no,,
6262,0,5,0,no,no,no,no,,
6263,0,4,0,no,no,no,no,,
6264,0,6,0,no,no,no,no,,
6265,0,8,0,no,no,no,no,,
